2026-05-12 15:13:56,443 | INFO | main_selenium | [48/250] 死亡诗社 Dead Poets Society
2026-05-12 15:14:18,109 | INFO | main_selenium | [49/250] 大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒
2026-05-12 15:14:40,769 | INFO | main_selenium | [50/250] 绿皮书 Green Book
2026-05-12 15:15:03,971 | INFO | main_selenium | [51/250] 何以为家 كفرناحوم
2026-05-12 15:15:28,653 | INFO | main_selenium | [52/250] 闻香识女人 Scent of a Woman
2026-05-12 15:15:52,715 | INFO | main_selenium | [53/250] 大闹天宫
2026-05-12 15:16:16,089 | INFO | main_selenium | [54/250] 黑客帝国 The Matrix
2026-05-12 15:16:39,353 | INFO | main_selenium | [55/250] 指环王1：护戒使者 The Lord of the Rings: The Fellowship of the Ring
2026-05-12 15:17:02,804 | INFO | main_selenium | [56/250] 罗马假日 Roman Holiday
2026-05-12 15:17:26,315 | INFO | main_selenium | [57/250] 教父2 The Godfather: Part II
2026-05-12 15:17:50,656 | INFO | main_selenium | [58/250] 狮子王 The Lion King
2026-05-12 15:18:14,500 | INFO | main_selenium | [59/250] 天堂电影院 Nuovo Cinema Paradiso
2026-05-12 15:18:37,122 | INFO | main_selenium | [60/250] 饮食男女 飲食男女
2026-05-12 15:19:01,283 | INFO | main_selenium | [61/250] 辩护人 변호인
2026-05-12 15:19:24,762 | INFO | main_selenium | [62/250] 本杰明·巴顿奇事 The Curious Case of Benjamin Button
2026-05-12 15:19:49,628 | INFO | main_selenium | [63/250] 搏击俱乐部 Fight Club
2026-05-12 15:20:13,826 | INFO | main_selenium | [64/250] 美丽心灵 A Beautiful Mind
2026-05-12 15:20:37,567 | INFO | main_selenium | [65/250] 穿条纹睡衣的男孩 The Boy in the Striped Pajamas
2026-05-12 15:21:00,965 | INFO | main_selenium | [66/250] 哈利·波特与死亡圣器(下) Harry Potter and the Deathly Hallows: Part 2
2026-05-12 15:21:25,620 | INFO | main_selenium | [67/250] 情书 Love Letter
2026-05-12 15:21:51,457 | INFO | main_selenium | [68/250] 两杆大烟枪 Lock, Stock and Two Smoking Barrels
2026-05-12 15:22:15,985 | INFO | main_selenium | [69/250] 窃听风暴 Das Leben der Anderen
2026-05-12 15:22:38,786 | INFO | main_selenium | [70/250] 功夫
2026-05-12 15:23:02,591 | INFO | main_selenium | [71/250] 音乐之声 The Sound of Music
2026-05-12 15:23:25,846 | INFO | main_selenium | [72/250] 哈利·波特与阿兹卡班的囚徒 Harry Potter and the Prisoner of Azkaban
2026-05-12 15:23:56,874 | INFO | main_selenium | [73/250] 阿凡达 Avatar
2026-05-12 15:24:20,404 | INFO | main_selenium | [74/250] 西西里的美丽传说 Malèna
2026-05-12 15:24:43,929 | INFO | main_selenium | [75/250] 看不见的客人 Contratiempo
2026-05-12 15:25:08,588 | INFO | main_selenium | [76/250] 拯救大兵瑞恩 Saving Private Ryan
2026-05-12 15:25:31,774 | INFO | main_selenium | [77/250] 沉默的羔羊 The Silence of the Lambs
2026-05-12 15:25:55,789 | INFO | main_selenium | [78/250] 小鞋子 بچه های آسمان
2026-05-12 15:26:19,809 | INFO | main_selenium | [79/250] 布达佩斯大饭店 The Grand Budapest Hotel
2026-05-12 15:26:42,791 | INFO | main_selenium | [80/250] 蝴蝶效应 The Butterfly Effect
2026-05-12 15:27:05,951 | INFO | main_selenium | [81/250] 飞越疯人院 One Flew Over the Cuckoo's Nest
2026-05-12 15:27:29,078 | INFO | main_selenium | [82/250] 还有明天 C'è ancora domani
2026-05-12 15:27:52,861 | INFO | main_selenium | [83/250] 禁闭岛 Shutter Island
2026-05-12 15:28:16,557 | INFO | main_selenium | [84/250] 心灵捕手 Good Will Hunting
2026-05-12 15:28:39,480 | INFO | main_selenium | [85/250] 致命魔术 The Prestige
2026-05-12 15:29:01,930 | INFO | main_selenium | [86/250] 低俗小说 Pulp Fiction
2026-05-12 15:29:24,913 | INFO | main_selenium | [87/250] 哈利·波特与密室 Harry Potter and the Chamber of Secrets
2026-05-12 15:29:46,351 | INFO | main_selenium | [88/250] 超脱 Detachment
2026-05-12 15:30:12,264 | INFO | main_selenium | [89/250] 一一
2026-05-12 15:30:34,309 | INFO | main_selenium | [90/250] 喜剧之王 喜劇之王
2026-05-12 15:30:55,530 | INFO | main_selenium | [91/250] 杀人回忆 살인의 추억
2026-05-12 15:31:18,073 | INFO | main_selenium | [92/250] 致命ID Identity
2026-05-12 15:31:40,417 | INFO | main_selenium | [93/250] 摩登时代 Modern Times
2026-05-12 15:32:03,598 | INFO | main_selenium | [94/250] 春光乍泄 春光乍洩
2026-05-12 15:32:27,276 | INFO | main_selenium | [95/250] 加勒比海盗 Pirates of the Caribbean: The Curse of the Black Pearl
2026-05-12 15:32:51,922 | INFO | main_selenium | [96/250] 海豚湾 The Cove
2026-05-12 15:33:15,770 | INFO | main_selenium | [97/250] 美国往事 Once Upon a Time in America
2026-05-12 15:33:38,140 | INFO | main_selenium | [98/250] 红辣椒 パプリカ
2026-05-12 15:34:01,624 | INFO | main_selenium | [99/250] 七宗罪 Se7en
2026-05-12 15:34:24,467 | INFO | main_selenium | [100/250] 唐伯虎点秋香 唐伯虎點秋香
2026-05-12 15:34:47,480 | INFO | main_selenium | [101/250] 狩猎 Jagten
2026-05-12 15:35:10,707 | INFO | main_selenium | [102/250] 幽灵公主 もののけ姫
2026-05-12 15:35:34,351 | INFO | main_selenium | [103/250] 甜蜜蜜
2026-05-12 15:35:56,320 | INFO | main_selenium | [104/250] 寄生虫 기생충
2026-05-12 15:36:19,998 | INFO | main_selenium | [105/250] 天书奇谭
2026-05-12 15:36:42,717 | INFO | main_selenium | [106/250] 蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises
2026-05-12 15:37:06,236 | INFO | main_selenium | [107/250] 超能陆战队 Big Hero 6
2026-05-12 15:37:30,269 | INFO | main_selenium | [108/250] 7号房的礼物 7번방의 선물
2026-05-12 15:37:52,811 | INFO | main_selenium | [109/250] 茶馆
2026-05-12 15:38:15,726 | INFO | main_selenium | [110/250] 第六感 The Sixth Sense
2026-05-12 15:38:38,022 | INFO | main_selenium | [111/250] 爱在黎明破晓前 Before Sunrise
2026-05-12 15:39:00,751 | INFO | main_selenium | [112/250] 爱在日落黄昏时 Before Sunset
2026-05-12 15:39:22,352 | INFO | main_selenium | [113/250] 被嫌弃的松子的一生 嫌われ松子の一生
2026-05-12 15:39:45,105 | INFO | main_selenium | [114/250] 头脑特工队 Inside Out
2026-05-12 15:40:09,344 | INFO | main_selenium | [115/250] 哈利·波特与火焰杯 Harry Potter and the Goblet of Fire
2026-05-12 15:40:34,058 | INFO | main_selenium | [116/250] 未麻的部屋 Perfect Blue
2026-05-12 15:40:59,534 | INFO | main_selenium | [117/250] 重庆森林 重慶森林
